|company_name|raised_amount_usd|market|funding_total_usd|status|country_code|city|funding_rounds|founded_year|sector|hasDotCom
633|Lukkin|120000.0|Crowdsourcing|120000|operating|CHL|Viña Del Mar|1|2011.0|online platforms and marketplaces|0
634|MENA360|1300000.0|E-Commerce|1300000|operating|||1|2012.0|online platforms and marketplaces|0
635|MILI|1100000.0|Social Network Media|6100000|operating|||2|2012.0|online platforms and marketplaces|0
636|MODLOFT|250000.0|E-Commerce|250000|operating|USA|Miami|1|2006.0|online platforms and marketplaces|0
637|MOOVIA|400000.0|Social Network Media|400000|operating|||1|2012.0|online platforms and marketplaces|0
638|MPGomatic.com|10000.0|Clean Technology|10000|operating|USA|Skillman|1|2007.0|online platforms and marketplaces|1
639|Mabaya|1200000.0|E-Commerce|1200000|operating|ISR|Tel Aviv|1|2013.0|online platforms and marketplaces|0
640|Madison Plus Select / HeyGorgeous.com|550000.0|Retail|550000|operating|USA|Brooklyn|2|2013.0|online platforms and marketplaces|1
641|Magazinga|500000.0|Social Commerce|500000|operating|RUS|Moscow|1|2010.0|online platforms and marketplaces|0
642|Magnolia Fashion|105000.0|E-Commerce|105000|operating|CHL|Santiago|1|2012.0|online platforms and marketplaces|0
643|Mailgun|1100000.0|Messaging|1100000|acquired|USA|Mountain View|2|2010.0|online platforms and marketplaces|0
644|Maker's Row|1000000.0|Marketplaces|1000000|operating|USA|Brooklyn|1|2012.0|online platforms and marketplaces|0
645|MakerCloud|60.0|Marketplaces|60|operating|DEU|Berlin|1|2013.0|online platforms and marketplaces|0
646|Makoo|19975.0|E-Commerce|19975|operating|ITA|Roncade|1|2013.0|online platforms and marketplaces|0
647|MamboCar|52547.0|E-Commerce|52547|operating|ESP|Madrid|1|2012.0|online platforms and marketplaces|0
648|Manifatto|30000.0|E-Commerce|30000|operating|||1|2014.0|online platforms and marketplaces|0
649|Manifest|100000.0|Social Media|100000|operating|USA|Moscow Mills|1|2012.0|online platforms and marketplaces|0
650|Markado|1000000.0|E-Commerce|2000000|operating|TUR|Istanbul|2|2013.0|online platforms and marketplaces|0
651|Markr|1000000.0|Social Media|1000000|operating|USA|Chicago|1|2013.0|online platforms and marketplaces|0
652|Massdrop|1350000.0|Social Commerce|7850000|operating|USA|San Francisco|2|2012.0|online platforms and marketplaces|0
653|MaxTradeIn.com|857360.0|Automotive|1407360|operating|USA|Indianapolis|2|2011.0|online platforms and marketplaces|1
654|MeBeam|100000.0|Messaging|100000|operating|AUS|Sydney|1|2006.0|online platforms and marketplaces|0
655|Mealnut|12000.0|Marketplaces|12000|operating|IND|Pune|1|2012.0|online platforms and marketplaces|0
656|MediConecta.com|40000.0|Enterprise Software|40000|operating|BRA|Nossa Senhora Das Graças|1|2011.0|online platforms and marketplaces|1
657|Meet.com|400000.0|Social Media|400000|operating|||1|2011.0|online platforms and marketplaces|1
658|MeetMeTix|500000.0|E-Commerce|500000|operating|USA|Austin|1|2011.0|online platforms and marketplaces|0
659|Megathread|300000.0|Social Network Media|300000|operating|||1|2011.0|online platforms and marketplaces|0
660|Melodigram|900620.0|Messaging|900620|operating|||1|2014.0|online platforms and marketplaces|0
661|Member Desk|20000.0|E-Commerce|20000|operating|USA|Phoenix|1|2011.0|online platforms and marketplaces|0
662|MemberTender.com|816240.0|CRM|816240|operating|IRL|Dublin|1|2010.0|online platforms and marketplaces|1
663|MemoryBistro|40000.0|Social Media|40000|operating|USA|Fort Collins|1|2011.0|online platforms and marketplaces|0
664|Men's Market|1000000.0|E-Commerce|1250000|operating|BRA|São Paulo|2|2012.0|online platforms and marketplaces|0
665|Mercari|500000.0|Mobile Commerce|41600000|operating|JPN|Tokyo|4|2013.0|online platforms and marketplaces|0
666|Merge Social|40000.0|Social Media|40000|operating|||1|2013.0|online platforms and marketplaces|0
667|MeroArte|25000.0|E-Commerce|25000|operating|||1|2013.0|online platforms and marketplaces|0
668|MiCarga|47500.0|Marketplaces|47500|operating|ARG|Buenos Aires|1|2011.0|online platforms and marketplaces|0
