|company_name|raised_amount_usd|market|funding_total_usd|status|country_code|city|funding_rounds|founded_year|sector|hasPayments|hasProperty|hasSolutions
181|Lendsquare|100000.0|Social Fundraising|100000|operating|USA|Chicago|1|2011.0|financials|0|0|0
182|Leondra music|864076.0|Financial Exchanges|938838|operating|DEU|Berlin|2|2013.0|financials|0|0|0
183|LibraTax|500000.0|Finance Technology|500000|operating|||1|2014.0|financials|0|0|0
184|Liquid Scenarios|112000.0|Venture Capital|112000|operating|USA|Boulder|1|2009.0|financials|0|0|0
185|Livewire|225000.0|Financial Services|225000|operating|USA|Austin|1|2012.0|financials|0|0|0
186|Loandesk|18867.0|Finance|18867|operating|AUS|North Sydney|1|2013.0|financials|0|0|0
187|Londons Holiday Apartments|163890.0|Real Estate|163890|operating|GBR|London|1|2011.0|financials|1|0|0
188|Lovely|2000000.0|Real Estate|4500000|acquired|USA|San Francisco|3|2011.0|financials|0|0|0
189|Lumatic|13000.0|Finance|813000|operating|USA|San Francisco|4|2009.0|financials|0|0|0
190|Lánzanos|320125.0|Finance|320125|operating|ESP|Ciudad Real|1|2010.0|financials|0|0|0
191|MDC Media|1500000.0|Wealth Management|2950000|operating|CHE|Zürich|3|2012.0|financials|0|0|0
192|MNG International Investments|1500000.0|Venture Capital|1500000|operating|HUN|Budapest|1|2012.0|financials|0|0|0
193|MOBEXO|1800000.0|Finance|1800000|operating|HKG|Hong Kong|1|2010.0|financials|0|0|0
194|Magick.nu|250000.0|Finance Technology|450000|operating|DNK|Copenhagen|2|2013.0|financials|0|0|0
195|MakeSpace|2100000.0|Commercial Real Estate|10100000|operating|USA|New York|2|2013.0|financials|0|0|0
196|MarketInvoice|2531304.0|Finance Technology|2531304|operating|GBR|London|1|2011.0|financials|0|0|0
197|MarketRiders|200000.0|Personal Finance|200000|operating|USA|Palo Alto|1|2008.0|financials|0|0|0
198|Master The Gap|725000.0|Trading|725000|operating|USA|Morrisville|1|2008.0|financials|0|0|0
199|Match Capital|255885.0|Finance|255885|operating|GBR|London|1|2012.0|financials|0|0|0
200|Matchfund|40000.0|Finance|40000|operating|USA|San Jose|1|2008.0|financials|0|0|0
201|Melotic|1175000.0|Bitcoin|1175000|operating|HKG|Hong Kong|1|2014.0|financials|0|0|0
202|Mesitis|775000.0|Trading|775000|operating|SGP|Singapore|1|2013.0|financials|0|0|0
203|Mint|325000.0|Finance|31775000|acquired|USA|Mountain View|5|2011.0|financials|0|0|0
204|MobiKwik|250000.0|Payments|30250000|operating|IND|Gurgaon|2|2009.0|financials|0|0|0
205|Mode De Faire|16000.0|Trading|16000|operating|USA|Dallas|1|2012.0|financials|0|0|0
206|Money Mover|182941.0|Financial Services|434284|operating|GBR|Cambridge|2|2013.0|financials|0|0|0
207|MoneyFarm|967750.0|Financial Services|5613564|operating|USA|Milano|3|2011.0|financials|0|0|0
208|Moni Technologies|120000.0|Finance|120000|operating|GBR|London|1|2013.0|financials|0|0|0
209|Moveline|1500000.0|Finance|4750000|operating|USA|Las Vegas|4|2011.0|financials|0|0|0
210|MyBeautyCompare|48632.0|Price Comparison|48632||GBR|London|1|2013.0|financials|0|0|0
211|MyVerse|400000.0|Finance|400000|closed|USA|San Francisco|1|2010.0|financials|0|0|0
212|Myhomepayge, Inc.|1300000.0|Real Estate|1300000|operating|USA|New York|1|2011.0|financials|0|0|0
213|Nebel.TV|100000.0|Bitcoin|100000||USA|Mountain View|1|2013.0|financials|0|0|0
214|Negorama|7778.0|Real Estate|7778|operating|ESP|Valencia|1|2012.0|financials|0|0|0
215|Netero|150000.0|P2P Money Transfer|150000|operating|USA|Dallas|1|2014.0|financials|0|0|0
216|Netotiate|1600000.0|Price Comparison|1600000|operating|USA|Waltham|2|2011.0|financials|0|0|0
217|Neuroware.io|100000.0|Bitcoin|100000|operating|USA|Mountain View|1|2014.0|financials|0|0|0
218|Next Gen Capital Markets|1200000.0|Finance|1200000|operating|USA|Houston|1|2013.0|financials|0|0|0
219|Nextlanding|20000.0|Real Estate|20000||USA|New York|1|2013.0|financials|0|0|0
220|NoveltyLab|25000.0|Virtual Currency|25000|operating|USA|Sunnyvale|1|2012.0|financials|0|0|0
221|Nubank|2000000.0|Financial Services|16300000|operating|BRA|São Paulo|2|2013.0|financials|0|0|0
222|Offerboard|1250000.0|Finance|1250000|operating|||1|2013.0|financials|0|0|0
223|Only Mallorca|65970.0|Real Estate|263760|operating|ESP|Puerto De Andraitx|2|2012.0|financials|0|0|0
224|Openfinance|607200.0|Finance|607200|acquired|ESP|Madrid|1|2002.0|financials|0|0|0
225|Orbotix|120000.0|Finance|36232214|operating|USA|Boulder|7|2010.0|financials|0|0|0
226|Osper|1216427.0|Finance|11216427|operating|GBR|London|2|2013.0|financials|0|0|0
227|Ouner|33000.0|Real Estate|33000|operating|ESP|Barcelona|1|2013.0|financials|0|0|0
228|Owlin|250000.0|Finance Technology|250000|operating|NLD|Utrecht|1|2012.0|financials|0|0|0
229|P2Binvestor|200000.0|Finance|1400000|operating|USA|Denver|2|2012.0|financials|0|0|0
230|PAYMEY|130277.0|Mobile Payments|262876|operating|DEU|Berlin|2|2013.0|financials|0|0|0
231|Paddle (Mobile Payments)|235536.0|Payments|235536||GBR|London|1|2012.0|financials|1|0|0
232|PagoFacil|1000000.0|Payments|1000000|operating|MEX|Mexico City|1|2010.0|financials|0|0|0
233|Partender|50000.0|Finance|50000|operating|||3|2012.0|financials|0|0|0
234|PayBox Payment Solutions|100000.0|Mobile Payments|100000|operating|||1|2014.0|financials|0|0|1
235|PayStand|2000000.0|Bitcoin|2275000|operating|USA|Santa Cruz|3|2013.0|financials|0|0|0
236|Paybook|125000.0|Finance Technology|475000|operating|USA|Austin|3|2011.0|financials|0|0|0
237|Payfirma|501501.0|Accounting|10524176|operating|CAN|Vancouver|7|2011.0|financials|0|0|0
238|Payoff|1700000.0|Personal Finance|24800000|operating|USA|Costa Mesa|4|2009.0|financials|0|0|0
239|Payveris|1450000.0|Finance|6650000|operating|USA|Wethersfield|2|2011.0|financials|0|0|0
240|Peach Payments|67983.0|Mobile Payments|67983|operating|ZAF|Cape Town|1|2012.0|financials|1|0|0
241|Peerform|1000000.0|Finance|2900000|operating|USA|New York|3|2010.0|financials|0|0|0
242|Personal Estate Manager|180000.0|Finance|180000|operating|||1|2004.0|financials|0|0|0
243|Pet Insurance Quotes|100000.0|Insurance|100000|operating|USA|Columbus|1|2011.0|financials|0|0|0
244|Pickie|1000000.0|Finance|1000000|acquired|USA|New York|2|2012.0|financials|0|0|0
245|Pitchbrite|200000.0|Venture Capital|200000|acquired|USA|San Francisco|1|2011.0|financials|0|0|0
246|Placemeter|1700000.0|Finance|7843000|operating|USA|New York|4|2012.0|financials|0|0|0
247|Placester|2500000.0|Lead Management|8926212|operating|||4|2010.0|financials|0|0|0
248|Pocket Change|1400000.0|Financial Services|6400000|operating|USA|San Francisco|2|2011.0|financials|0|0|0
249|PocketFM Limited|40000.0|Real Estate|40000|operating|GBR|Edinburgh|1|2013.0|financials|0|0|0
250|Pockit|1604509.0|Finance Technology|3452016||GBR|London|2|2012.0|financials|0|0|0
251|Pollenizer|500000.0|Finance|500000|operating|AUS|Surry Hills|1|2008.0|financials|0|0|0
252|PopUp Leasing|40000.0|Real Estate|40000|operating|USA|Chicago|1|2011.0|financials|0|0|0
253|Popular Pays|200000.0|Virtual Currency|750000|operating|USA|Chicago|2|2013.0|financials|0|0|0
254|Post Grad Apartments LLC|50000.0|Real Estate|50000|operating|||1|2011.0|financials|1|0|0
255|PrairieSmarts|220000.0|Finance|220000|operating|USA|Elkhorn|1|2012.0|financials|0|0|0
256|Prism|400000.0|Payments|1530000|operating|USA|Bellevue|2|2011.0|financials|0|0|0
257|ProFundCom|451490.0|Finance|451490|operating|GBR|London|1|2006.0|financials|0|0|0
258|Property Partner|2026468.0|Real Estate|2026468|operating|GBR|London|1|2014.0|financials|0|1|0
259|Property Pointe|200000.0|Real Estate|200000|operating|USA|Temecula|1|2013.0|financials|0|1|0
260|Propertygate|39994.0|Intellectual Asset Management|39994|operating|IRL|Dublin|1|2012.0|financials|0|1|0
261|Prosperity Financial Services Pte Ltd|120000.0|Finance|370000|closed|SGP|Singapore|2|2006.0|financials|0|1|0
262|ProtectWise|3050000.0|Finance|17150000|operating|||2|2013.0|financials|0|0|0
263|ProvenProspects, Inc.|14000.0|Finance|164000|operating|USA|Los Angeles|2|2007.0|financials|0|0|0
264|Prêt d’Union|265699.0|Finance|18353659|operating|FRA|Issy-les-moulineaux|3|2009.0|financials|0|0|0
265|Purse.IO|300000.0|Bitcoin|300000|operating|USA|San Francisco|1|2014.0|financials|0|0|0
266|Pushing Innovation|150000.0|Financial Services|150000|operating|USA|San Diego|1|2013.0|financials|0|0|0
267|Qapital|300000.0|Finance|300000|operating|SWE|Stockholm|1|2012.0|financials|0|0|0
