|company_name|raised_amount_usd|market|funding_total_usd|status|country_code|city|funding_rounds|founded_year|sector
2101|Curalate|750000.0|Analytics|12350000.0|operating|USA|Philadelphia|3.0|2012.0|technology
2102|Curate.Us|750000.0|Blogging Platforms|750000.0|operating|||1.0|2010.0|online platforms and marketplaces
2103|CureSquare|375000.0|Health Care|375000.0|operating|USA|Chicago|1.0|2012.0|healthcare
2104|Cureeo|75000.0|E-Commerce|75000.0|operating|USA|Chicago|1.0|2012.0|online platforms and marketplaces
2105|Curioos|500000.0|Printing|2400000.0|operating|USA|New York|2.0|2011.0|services
2106|Curiosidy|20000.0|SaaS|20000.0|operating|USA|Cleveland|1.0|2013.0|services
2107|Curiously|400000.0|Software|400000.0|operating|USA|New York|1.0|2014.0|technology
2108|Curis|964000.0|Biotechnology|22964000.0|operating|USA|Cambridge|4.0|2000.0|technology
2109|Curiyo|1900000.0|Software|1900000.0|operating|ISR|Jerusalem|1.0|2011.0|technology
2110|CurrencyFair|2542288.0||||||||
2111|Currently|140000.0|Web Development|140000.0|operating|||1.0|2012.0|technology
2112|Curriculet|1800000.0|Education|1800000.0|operating|USA|San Francisco|1.0|2012.0|education
2113|Curried Away Catering|25000.0|Hospitality|25000.0|operating|USA|Santa Clara|1.0|2009.0|no-profit and government
2114|Cursogram|300000.0|Education|1200000.0|operating|ESP|Madrid|2.0|2013.0|education
2115|CustEx|10000.0|Marketplaces|10000.0|operating|USA|Palo Alto|1.0|2012.0|online platforms and marketplaces
2116|CustomInk|600000.0|Fashion|40600000.0|operating|USA|Fairfax|2.0|2000.0|other consumer retail
2117|CustomMade|400000.0|E-Commerce|25650000.0|operating|USA|Cambridge|5.0|1996.0|online platforms and marketplaces
2118|CustomerAdvocacy.com|500000.0|Software|500000.0|operating|GBR|Edinburgh|1.0|2010.0|technology
2119|Cutanea Life Sciences|450000.0|Biotechnology|450000.0|operating|USA|Wayne|1.0|2005.0|technology
